PROGR;REGIONE;ID SCHEDA;PROVINCIA;COMUNE;LOCALITÀ;LATITUDINE SU GIS;LONGITUDINE SU GIS;ALTITUDINE (m s.l.m.);CONTESTO URBANO;SPECIE NOME SCIENTIFICO;SPECIE NOME VOLGARE;CIRCONFERENZA FUSTO (cm);ALTEZZA (m);CRITERI DI MONUMENTALITÀ;PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO
1;TRENTO;01/A116/TN/22;Trento;Ala;Malga Revoltello;45° 42' 48,1'';10° 59' 35,4'';1475;no;Fagus sylvatica L.;Faggio;663;21,5;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
2;TRENTO;02/A116/TN/22;Trento;Ala;Malga Lavacchione;45° 42' 33,58'';10° 59' 11,16'';1380;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"450 (med)
557 (max)";"30,0 (med)
33,0 (max)";"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
3;TRENTO;03/A116/TN/22;Trento;Ala;Segheria - Riservetta Maia;45° 42' 12,21'';10° 58' 54,36'';1300;no;Fagus sylvatica L.;Faggio;525;35,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
4;TRENTO;04/A116/TN/22;Trento;Ala;Malga Sega di Ala;45° 41' 31,7'';10° 58' 55,55'';1280;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"514 (med)
540 (max)";"26,5 (med)
31,0 (max)";"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
5;TRENTO;02/M349/TN/22;Trento;Altavalle;Pegolot;46° 13' 34,11'';11° 16' 22,47'';1265;no;Picea abies (L.) H. Karst.;Abete rosso;436;38,0;"a) eta` e/o dimensioni
b) forma e portamento";no
6;TRENTO;02/A372/TN/22;Trento;Arco;Carobbi;45° 56' 56,08'';10° 55' 54,26'';750;no;Insieme omogeneo di Castanea sativa Mill.;Castagno;"655 (med)
663 (max)";"15,0 (med)
16,0 (max)";"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico";no
7;TRENTO;01/A520/TN/22;Trento;Avio;Malga Riondera;45° 43' 31,74'';10° 57' 52,23'';808;no;Acer campestre L.;Acero campestre;288;21,0;a) eta` e/o dimensioni;no
8;TRENTO;02/A520/TN/22;Trento;Avio;Val della Sega;45° 43' 20,41'';10° 52' 53,23'';1265;no;Abies alba Mill.;Abete bianco;610;31,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico";no
9;TRENTO;03/A520/TN/22;Trento;Avio;Piagu';45° 45' 21,75'';10° 55' 44,08'';915;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"510 (med)
670 (max)";"29,0 (med)
30,5 (max)";"a) eta` e/o dimensioni
f) pregio paesaggistico";no
10;TRENTO;02/A863/TN/22;Trento;Bieno;Maso Weiss;46° 04' 46,93'';11° 32' 36,36'';765;no;Tilia cordata Mill.;Tiglio selvatico;516;25,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
11;TRENTO;01/M352/TN/22;Trento;Borgo Chiese;Casina da Le Pere;45° 54' 33,94'';10° 32' 15,89'';1515;no;Abies alba Mill.;Abete bianco;499;24,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico";no
12;TRENTO;01/M353/TN/22;Trento;Borgo Lares;D'Avre - Doss Borél;46° 01' 06,69'';10° 43' 11,95'';820;no;Fagus sylvatica L.;Faggio;516;29,0;"a) eta` e/o dimensioni
b) forma e portamento
f) pregio paesaggistico";no
13;TRENTO;02/M353/TN/22;Trento;Borgo Lares;Paghera;46° 00' 16,9'';10° 43' 20,41'';1360;no;Abies alba Mill.;Abete bianco;462;44,0;a) eta` e/o dimensioni;no
14;TRENTO;01/B006/TN/22;Trento;Borgo Valsugana;Val di Sella - Malga Costa;46° 00' 21,61'';11° 22' 30,81'';970;no;Quercus robur L.;Farnia;676;20,5;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico";no
15;TRENTO;02/B153/TN/22;Trento;Brentonico;Postemonzel;45° 46' 46,8'';10° 54' 14,05'';1220;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"535 (med)
596 (max)";"23,0 (med)
25,0 (max)";"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico";no
16;TRENTO;01/B158/TN/22;Trento;Bresimo;Dieci Case;46° 25' 45,86'';10° 54' 57,49'';1590;no;Larix decidua Mill.;Larice;477;23,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
g) valore storico, culturale, religioso";no
17;TRENTO;01/B335/TN/22;Trento;Caderzone Terme;Malga Garzone';46° 08' 16,92'';10° 42' 21,34'';1965;no;Larix decidua Mill.;Larice;517;21,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
18;TRENTO;01/B514/TN/22;Trento;Campitello di Fassa;Do' col D'Aura;46° 29' 22,47'';11° 39' 27,95'';2020;no;Pinus cembra L.;Pino cembro;220;10,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico";no
19;TRENTO;01/B579/TN/22;Trento;Canazei;La Roijes;46° 29' 29,01'';11° 46' 10,61'';1920;no;Larix decidua Mill.;Larice;370;27,0;"a) eta` e/o dimensioni
b) forma e portamento";no
20;TRENTO;02/B579/TN/22;Trento;Canazei;Pian De Sorasas;46° 29' 10,67'';11° 45' 25,04'';1912;no;Pinus sylvestris L.;Pino silvestre;480;12,0;"a) eta` e/o dimensioni
b) forma e portamento";no
21;TRENTO;02/M354/TN/22;Trento;Castel Ivano;Campazzo;46° 04' 34,25'';11° 32' 00,62'';776;no;Castanea sativa Mill.;Castagno;590;20,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
